manufacturer_id,manufacturer_name
9517,MEDITI PHARMA INC
9528,TURNING POINT THERAPEUTICS INC
7874,GREEN CROSS CORPORATION
7886,ASTEX PHARMACEUTICALS INC.
8759,VANCOUVER LASER & SKIN ARE CENTRE
8772,SIDERIS PHARMACEUTICALS INC
9583,"ACTINIUM PHARMACEUTICALS, INC"
9596,"VISTERRA, INC"
9603,"ATARA BIOTHERAPEUTICS, INC"
7940,DOUGLAS MENTAL HEALTH UNIVERSITY INSTITUTE
7954,THUNDER BAY REGIONAL RESEARCH INSTITUTE
7957,SPECTRACURE AB
9275,HISTOGENICS CORP
10048,MEREO BIOPHARMA 4 LTD
10097,OVID THERAPEUTICS INC
11826,HOUSTON METHODIST RESEARCH INSTITUTE
12801,"BETA BIONICS, INC."
12803,"BLACK DIAMOND THERAPEUTICS, INC."
13113,"DESIGN THERAPEUTICS, INC."
11945,SLING THERAPEUTICS INC
12592,THE GOVERNORS OF THE UNIVERSITY OF ALBERTA
12593,ZYUS LIFE SCIENCES INC.
12225,"TCR2 THERAPEUTICS, INC. (A SUBSIDIARY OF ADAPTIMMUNE THERAPEUTICS PLC)"
12421,ENGENE HOLDINGS
12749,PRELUDE THERAPEUTICS INCORPORATED
12763,16506607 CANADA INC
12782,CENTESSA PHARMACEUTICALS (UK) LIMITED
11884,JEROME STEVENS PHARMACEUTICALS INC.
12162,"ATOSSA THERAPEUTICS, INC."
12481,DR DAVID PALMA
13079,"PELAGE PHARMACEUTICALS, INC."
8896,EVOLUS INCORPORATED
9753,DR. CARL A. LASKIN
8127,ASAHI KASEI PHARMA AMERICA CORPORATION
8151,RECEPTOS INCORPORATED
8153,DR ROBERT F CASPER
8929,DR VIDUR SHYAM
9817,SIENNA BIOPHARMACEUTICALS INC
8172,IBSA INSTITUT BIOCHIMIQUE SA
8178,UNIVERSITY OF PENNSYLVANIA
8193,EVER NEURO PHARMA GMBH
8198,TAURX THERAPEUTICS LTD
8949,PROTHENA THERAPEUTICS LIMITED
8955,HAL ALLERGY BV
8967,OPTINA DIAGNOSTICS
8971,ACERUS PHARMACEUTICALS CORPORATION
8974,ACERTA PHARMA BV
8978,CHU DE QUÉBEC-UNIVERSITÉ LAVAL
9842,CHILDRENS HOSPITAL OF EASTERN ONTARIO RESEARCH INSTITUTE
9847,AMO PHARMA LTD
9869,CANOPY HEALTH INNOVATIONS INC
10536,NEURALY INC
8251,KEDRION S.P.A.
9015,NOVADAQ TECHNOLOGIES INC
9036,XBIOTECH USA INC
9040,VTV THERAPEUTICS LLC
9892,NOVADAQ TECHNOLOGIES ULC
9919,IDERA PHARMACEUTICALS INC
9922,UROVANT SCIENCES GMBH
9930,"R ADAMS COWLEY SHOCK TRAUMA CENTER, UNIVERSITY OF MARYLAND"
7460,EISAI LIMITED
8333,UNIVERSITY OF CHICAGO MEDICAL CENTER
9947,DR ARTUELA CAKU
9952,TREVI THERAPEUTICS INC
7492,QUARK PHARMACEUTICALS INC
7497,CANADIAN CENTER FOR VACCINOLOGY (CCFV)
8371,NEOMED INSTITUTE
